,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type
61,0,298.6,309.5,1325,52.2,127,0
62,0,298.5,309.6,1419,41.5,105,0
63,0,298.3,308.3,1452,45.5,63,0
64,0,300.6,310.2,1648,31.7,46,0
65,0,303.9,313.0,1480,39.9,176,0
66,0,301.0,312.1,1585,32.3,50,0
67,0,304.3,313.5,1802,25.4,170,0
68,0,301.7,310.1,1487,48.0,36,0
69,0,301.9,310.8,1400,58.2,79,0
70,0,299.3,310.5,1529,41.3,17,0
71,1,298.6,308.3,1589,34.1,174,0
72,0,300.4,309.4,1412,51.6,153,0
73,1,300.9,310.8,1599,33.0,7,0
74,0,300.6,311.7,1488,47.7,22,0
75,0,298.3,308.3,1444,43.8,176,0
76,0,298.2,308.4,1452,43.5,158,0
77,0,300.4,311.6,1674,33.0,172,0
78,0,303.5,312.0,1756,29.7,28,0
79,2,300.7,311.3,1374,53.1,66,0
80,1,298.9,309.8,1836,22.8,18,0
81,1,298.0,307.5,1431,52.9,92,0
82,1,302.4,311.1,1432,44.5,195,0
83,1,300.7,311.9,1366,55.1,36,0
84,1,297.5,308.6,1429,50.5,129,0
85,0,302.3,310.2,1548,35.3,170,0
86,1,298.7,309.6,1686,26.2,189,0
87,0,297.6,309.4,1628,33.4,229,0
88,0,300.1,309.5,1660,32.7,57,0
89,0,299.8,309.2,1591,37.5,109,0
90,0,299.1,308.3,1601,31.4,121,0
91,0,301.0,310.9,1473,44.2,116,0
92,0,302.8,310.6,1470,41.1,205,0
93,0,304.2,313.8,1401,53.9,142,0
94,1,301.5,310.5,1503,38.2,200,0
95,0,298.3,307.9,1551,33.8,72,0
96,0,300.6,309.5,1867,23.0,242,2
97,0,303.9,312.9,1526,42.5,194,0
98,1,301.4,311.1,1758,25.4,88,0
99,1,298.1,308.7,1362,49.6,158,0
100,1,298.5,308.8,1553,34.9,18,0
101,0,302.3,311.6,1309,57.6,77,0
102,2,300.3,309.7,1452,41.5,139,0
103,1,298.8,309.0,1592,38.2,169,0
104,0,299.7,310.4,1614,36.2,108,0
105,0,301.7,311.0,1715,24.8,17,0
106,1,301.7,310.8,1516,40.4,48,0
107,0,300.4,309.3,1766,28.2,207,0
108,1,297.5,308.8,1471,52.3,152,0
109,1,297.0,307.9,1569,33.3,141,0
110,0,303.6,313.0,1522,35.8,133,0
111,0,298.9,308.6,2069,18.7,27,0
112,1,302.3,310.1,1563,37.8,31,0
113,1,301.1,311.1,1615,37.7,153,0
114,0,300.7,309.9,1775,26.6,149,0
115,2,298.0,308.7,1503,36.3,5,0
116,0,299.0,310.1,1664,29.7,89,0
117,1,299.6,310.6,1633,34.2,151,0
118,0,298.1,307.6,1950,20.3,202,2
119,0,302.7,312.1,1763,26.5,184,0
120,0,298.6,309.7,1627,33.4,99,0
121,0,298.3,310.0,1858,23.9,114,0
122,0,297.8,307.5,1391,48.6,109,0
123,0,297.4,308.4,1392,49.7,174,0
124,0,300.7,309.6,1329,54.3,80,0
125,0,300.7,310.3,1533,35.6,198,0
126,1,297.6,309.2,1442,48.1,0,0
127,0,297.5,308.7,1443,46.2,110,0
128,0,298.0,308.7,1626,36.7,210,0
129,2,297.3,308.3,1461,41.5,108,0
130,0,297.2,308.6,1437,52.4,37,0
131,1,297.2,307.9,1687,30.4,82,0
132,0,302.2,311.3,1602,32.8,120,0
133,1,304.2,313.4,1713,23.5,50,0
134,0,300.5,310.6,1543,36.2,30,0
135,0,299.5,310.7,1589,33.5,5,0
136,1,300.0,309.1,1463,45.7,11,0
137,1,302.3,311.0,1384,49.7,192,0
138,0,298.6,308.9,1327,58.8,9,0
139,0,301.9,309.6,1410,49.0,223,0
140,1,300.6,310.7,1654,32.0,180,0
141,0,303.9,313.1,1440,41.1,12,0
142,0,300.1,310.5,1394,44.3,121,0
143,1,302.1,311.0,1574,34.1,215,0
144,0,302.6,312.3,1647,31.8,52,0
145,1,298.8,309.9,1415,53.2,194,0
146,0,297.5,308.6,1536,39.0,202,0
147,0,297.4,308.3,1561,38.3,0,0
148,1,303.1,311.1,1594,35.5,13,0
149,0,300.3,310.3,2158,16.8,32,0
150,0,301.1,309.8,1519,39.6,167,0
151,1,297.8,307.3,1315,54.0,180,0
152,0,298.2,307.8,1804,25.1,108,0
153,2,302.5,311.5,1626,36.0,44,0
154,0,302.7,310.5,1642,30.8,195,0
155,0,300.3,309.6,1593,38.1,140,0
156,0,300.7,309.7,1507,52.4,163,0
157,2,298.3,309.0,1470,38.4,10,0
158,2,298.9,308.5,1415,54.0,6,0
159,1,297.5,308.8,1455,46.1,147,0
160,1,300.8,312.0,1274,67.3,159,1
161,0,300.2,311.0,1627,33.7,147,0
162,0,302.2,311.5,1725,34.0,170,0
163,1,299.7,309.6,1313,60.0,186,0
164,2,299.3,310.4,1393,44.9,162,0
165,0,301.0,312.2,1264,59.0,57,0
166,1,300.5,311.9,1370,44.8,20,0
167,0,301.6,310.6,1613,42.5,97,0
168,0,300.8,311.9,1560,31.8,21,0
169,0,296.3,307.2,1637,31.6,27,0
170,2,300.6,309.4,1463,49.2,235,0
171,0,301.3,310.6,1387,53.6,94,0
172,0,300.1,309.4,1434,47.3,127,0
173,2,300.2,310.4,1501,42.9,212,0
174,0,298.2,308.1,1462,49.9,69,0
175,0,298.8,310.6,1803,25.4,209,0
176,0,302.4,310.2,1578,31.2,139,0
177,0,300.6,310.8,1533,38.5,117,0
178,0,300.7,311.7,1524,43.5,222,0
179,0,297.4,308.7,1510,36.2,92,0
180,2,297.3,308.7,1569,33.9,93,0
181,0,298.1,308.4,1592,38.2,211,0
182,1,298.5,308.0,1519,37.3,29,0
183,0,299.9,311.3,1429,58.2,103,0
184,0,300.0,309.1,1882,23.8,84,0
185,0,297.4,308.8,1353,49.4,188,0
186,2,301.3,311.0,1580,36.6,184,0
187,2,297.2,308.0,1435,43.0,202,0
188,0,299.0,310.0,1484,39.6,212,0
189,0,298.7,310.1,1558,37.6,44,0
190,0,300.0,309.4,1499,35.7,46,0
191,1,303.8,312.6,1768,23.9,149,0
192,0,298.1,308.9,2136,15.9,78,0
193,1,297.9,309.1,1488,37.3,30,0
194,1,297.1,308.1,1352,44.4,0,0
195,1,301.5,310.7,1347,47.9,29,0
196,1,299.7,310.3,1661,34.5,6,0
197,2,303.8,312.9,1378,45.6,184,0
198,0,297.8,309.3,2015,20.1,161,0
199,1,301.0,310.6,1698,27.3,14,0
200,2,301.2,310.7,1747,27.3,35,0
201,1,298.7,309.6,1738,27.3,79,0
202,0,297.4,308.7,1402,40.2,114,0
203,0,298.2,309.0,1353,57.8,89,0
204,1,299.1,310.1,1649,31.6,41,0
205,0,302.8,312.2,1433,50.0,216,0
206,1,302.7,312.2,1350,58.6,2,5
207,0,298.3,307.9,1766,26.5,145,0
208,0,301.5,310.6,1998,20.2,210,0
209,0,298.8,310.0,1611,32.4,183,0
210,0,300.0,309.6,1514,44.6,98,0
211,0,300.5,311.6,1447,45.4,204,0
212,0,298.7,308.6,1297,55.3,148,0
213,0,297.3,307.9,1579,34.4,193,0
214,1,297.9,309.9,1410,55.4,188,0
215,0,302.3,311.5,1565,35.6,41,0
216,2,300.6,309.4,1555,37.9,24,0
217,0,302.7,312.3,1858,25.4,2,0
218,0,300.7,311.7,1910,19.7,13,0
219,2,300.5,311.4,1679,27.5,59,0
220,2,300.6,309.4,1691,28.0,36,0
221,0,298.8,309.9,1486,40.3,126,0
222,1,303.6,312.4,1504,49.5,109,0
223,0,299.7,309.6,1419,45.1,170,0
224,1,300.8,310.5,1409,50.6,141,0
225,2,296.1,306.9,1541,32.6,33,0
226,0,300.4,309.8,1513,32.9,117,0
227,0,302.8,312.1,1487,36.6,84,0
228,0,302.0,310.5,2197,15.8,133,0
229,2,301.8,310.5,1478,38.6,141,0
230,0,299.2,310.5,1391,45.8,38,0
231,0,302.3,311.4,1535,41.8,77,0
232,1,298.2,309.5,1478,36.5,182,0
233,0,298.2,309.0,1643,34.1,91,0
234,0,301.1,310.4,1874,24.8,47,0
235,0,300.5,310.5,1409,60.9,73,1
236,0,303.8,312.8,1416,58.7,156,0
237,0,297.3,308.3,2358,14.9,49,0
238,0,297.8,307.8,1452,39.8,21,0
239,0,297.4,308.8,1651,34.1,163,0
240,2,300.4,311.4,1445,52.4,105,0
241,1,301.0,310.8,1533,39.3,194,0
242,0,297.4,308.4,1582,37.2,68,0
243,0,300.9,310.9,1749,26.4,40,0
244,0,301.5,310.8,1382,52.4,165,0
245,0,302.2,310.8,1827,23.8,9,0
246,0,303.0,311.3,1466,43.0,210,0
247,1,301.2,310.1,1295,56.6,39,0
248,0,301.6,310.6,1391,49.4,164,0
249,0,299.0,308.1,1242,60.9,117,0
250,0,297.4,308.5,1471,43.9,45,0
251,2,303.0,311.2,1503,37.0,152,0
252,1,303.4,312.7,1399,48.4,34,0
253,1,298.1,308.5,1372,51.1,116,0
254,0,296.2,307.3,1711,29.9,42,0
255,1,302.3,311.7,1423,44.6,93,0
256,0,300.3,311.7,1406,47.5,14,0
257,0,300.3,311.3,1505,39.6,107,0
258,0,297.3,308.5,1504,42.0,142,0
259,0,300.4,311.4,1552,28.8,135,0
260,1,299.4,308.7,1487,52.6,205,0
261,0,302.2,311.9,1596,38.0,156,0
262,0,300.6,309.5,2025,21.4,64,0
263,0,299.2,308.7,1325,51.0,171,0
264,0,304.1,313.2,1434,50.1,43,0
265,0,301.0,311.4,1484,36.2,188,0
266,1,300.3,309.9,1611,29.0,177,0
267,0,299.8,309.7,1431,40.3,101,0
268,0,299.4,308.9,1440,42.5,87,0
269,0,300.5,310.2,1764,25.9,27,0
270,0,302.5,312.2,1775,27.9,56,0
271,0,299.0,310.1,2033,19.3,15,0
272,0,302.5,311.1,1499,38.8,135,0
273,1,300.8,311.9,1356,44.3,214,0
274,2,302.1,310.9,1452,42.5,198,0
275,1,299.2,309.0,1597,30.3,115,0
276,0,302.1,310.6,1459,47.6,93,0
277,1,302.3,311.0,1450,45.7,175,0
278,1,297.3,308.5,1625,32.8,92,0
279,0,302.0,310.9,1495,38.6,52,0
280,1,298.0,308.6,1453,44.1,165,0
281,0,300.4,311.5,1492,44.6,149,0
282,2,298.8,310.3,1708,27.1,78,0
283,2,303.8,312.5,1748,25.1,175,0
284,0,299.1,308.3,1524,34.1,128,0
285,0,300.7,311.7,1635,32.4,213,0
286,2,301.1,310.6,1388,58.5,68,0
287,2,302.8,312.5,1422,46.1,4,0
288,2,297.6,308.3,1640,30.9,79,0
289,0,302.8,310.8,1516,39.5,23,0
290,0,298.2,308.1,1618,34.7,39,0
291,0,298.8,309.8,1437,42.8,23,0
292,1,299.3,308.9,1577,34.9,160,0
293,1,300.3,309.6,1488,41.3,172,0
294,2,296.4,307.1,1638,32.5,146,0
295,0,303.7,312.4,1512,39.2,184,0
296,1,299.0,309.8,2240,15.9,144,0
297,0,298.3,308.0,1578,37.8,101,0
298,0,299.3,309.0,1419,46.6,158,0
299,0,300.5,311.7,1445,44.8,83,0
300,0,298.5,309.5,1428,43.5,87,0
301,0,297.5,308.7,1761,26.2,164,0
302,0,300.1,311.5,2218,17.0,123,0
303,0,299.6,310.9,1472,40.9,137,0
304,2,304.2,313.3,1625,37.3,27,0
305,0,302.2,311.5,1413,43.5,83,0
306,1,299.4,308.9,1457,41.5,201,2
307,1,301.5,310.7,1460,38.6,14,0
308,0,300.6,309.4,1442,43.2,96,0
309,2,298.5,309.3,1421,50.3,124,0
310,0,300.2,310.0,1486,40.1,182,0
311,1,300.4,310.2,1380,47.3,5,0
312,1,298.4,309.7,1870,22.5,170,0
313,1,300.8,312.3,1535,40.3,71,0
314,0,298.1,308.8,1432,43.4,68,0
315,0,298.2,309.0,1341,43.8,171,0
316,0,297.4,308.6,1476,42.3,107,0
317,0,301.8,310.6,1452,48.4,110,0
318,0,298.0,309.2,1378,49.7,94,0
319,1,298.0,307.9,1479,47.6,76,0
320,0,299.3,308.8,1636,29.9,201,0
321,0,296.9,308.3,1555,38.2,175,0
322,0,298.2,308.4,1497,37.7,207,2
323,0,303.3,312.1,1418,44.7,83,0
324,1,302.9,312.5,1679,30.9,79,0
325,0,302.4,311.0,1573,36.5,193,0
326,0,298.6,309.2,2035,19.6,40,0
327,0,302.4,312.0,1621,32.5,169,0
328,2,300.6,311.7,1500,36.7,17,0
329,1,297.2,308.4,1863,26.0,110,0
330,0,302.3,310.9,1403,47.2,173,0
331,0,296.6,307.6,1542,37.4,88,0
332,0,298.9,310.1,1823,26.1,131,0
333,0,301.7,310.1,1402,50.1,3,0
334,0,300.1,309.1,1353,58.7,86,0
335,0,300.6,310.1,1495,42.3,132,0
336,0,297.0,307.9,1455,49.0,204,0
337,0,299.1,310.5,1496,35.2,60,0
338,0,297.2,308.6,1413,49.8,12,0
339,0,299.0,308.9,1511,35.9,16,0
340,1,298.9,308.7,1402,49.8,167,0
341,0,301.0,310.9,1740,28.9,129,0
342,0,300.5,312.0,1646,29.5,106,0
343,0,302.9,312.4,1383,51.4,160,0
344,1,298.2,308.9,1326,54.4,75,0
345,1,298.7,310.3,1495,38.7,88,0
346,0,297.5,308.6,1260,53.6,137,0
347,0,300.0,311.4,1604,38.7,185,0
348,0,298.9,308.7,1729,26.6,73,0
349,1,297.9,309.6,1515,38.8,124,0
350,1,298.5,309.4,1365,48.7,56,0
351,1,297.3,307.8,1538,48.0,171,0
352,1,299.5,310.1,1359,61.1,67,0
353,0,296.7,307.8,1382,47.5,37,0
354,2,300.8,310.8,1618,32.8,40,0
355,1,298.9,309.2,1412,44.1,140,0
356,1,303.5,312.3,1532,41.7,32,0
357,0,300.8,311.7,1490,46.4,217,0
358,1,300.8,310.7,1483,40.8,28,0
359,0,303.7,312.2,1568,33.8,96,0
360,1,298.5,309.6,1364,58.7,123,0
361,0,301.3,310.0,1550,41.5,197,0
362,0,300.6,309.4,1549,43.4,233,0
363,1,300.6,309.6,1588,37.0,50,0
364,0,300.8,312.0,1382,49.3,177,0
365,2,298.1,309.0,1438,41.4,60,0
366,2,296.8,308.0,1453,51.0,24,0
367,0,297.4,308.6,1459,41.3,196,0
368,1,298.3,307.9,1609,32.4,151,0
369,1,299.0,310.3,1447,39.9,78,0
370,0,300.6,312.2,1308,54.7,52,0
371,0,297.2,308.5,1513,42.9,212,0
372,0,302.2,310.6,1632,30.5,122,0
373,1,300.1,310.2,1429,42.0,206,0
374,0,298.0,307.8,1622,33.3,121,0
375,1,302.0,310.6,1563,41.0,184,0
376,0,300.5,311.6,1444,49.3,92,0
377,0,301.9,310.9,1486,40.3,6,0
378,0,297.3,309.0,1548,37.4,171,0
379,1,300.2,309.4,1501,40.0,48,0
380,0,301.2,310.0,1618,37.6,32,0
381,0,299.9,309.5,1772,23.5,167,0
382,1,302.2,311.0,1436,47.0,187,0
383,1,297.6,308.6,1389,49.0,34,0
384,0,302.8,311.1,1550,32.3,76,0
385,2,298.7,308.5,1572,35.6,202,0
386,1,297.2,308.5,1364,54.0,43,0
387,0,297.2,308.5,1471,41.7,41,0
388,1,299.1,310.4,1422,49.3,69,0
389,0,303.8,312.8,1646,35.8,143,0
390,0,301.3,310.6,1481,40.9,57,0
391,1,301.8,310.2,1609,34.2,217,0
392,0,302.8,312.2,1682,30.9,58,0
393,1,300.4,309.3,1411,41.6,160,0
394,1,295.7,306.3,1685,34.9,84,0
395,0,300.2,310.1,1523,42.3,25,0
396,0,302.8,312.1,1441,52.1,79,0
397,0,299.8,309.4,1609,32.5,27,0
398,1,299.5,309.0,1399,49.7,207,0
399,0,297.7,309.0,1507,38.2,94,0
400,2,300.4,311.5,1662,29.0,137,0
401,0,301.1,310.5,1428,44.1,103,0
402,0,300.2,309.8,1398,54.8,39,0
403,0,299.1,310.0,1394,46.6,27,0
404,1,296.0,306.6,1392,51.3,124,0
405,2,297.5,308.8,1430,49.4,2,0
406,0,300.4,311.2,1436,56.8,173,0
407,1,302.4,311.8,1358,50.6,133,0
408,1,299.3,310.7,1440,45.5,146,0
409,0,302.1,311.4,1603,35.9,104,0
410,0,300.7,310.8,1814,21.4,59,0
411,0,300.0,311.4,1483,45.6,187,0
412,0,298.2,309.1,1350,52.0,136,0
413,0,297.8,308.3,1477,44.8,170,0
414,0,302.2,311.5,1543,38.5,37,0
415,2,303.6,312.4,1460,53.7,214,3
416,0,303.1,311.3,1474,34.8,215,2
417,1,300.3,310.2,1442,39.5,4,0
418,1,297.7,308.9,1681,28.3,116,0
419,0,299.0,310.5,1755,27.9,56,0
420,0,298.3,309.2,1456,45.5,75,0
421,0,300.0,309.1,1401,44.5,0,0
422,0,297.3,308.6,1446,50.1,144,0
423,1,300.7,311.1,1608,35.3,167,0
424,0,297.4,308.4,1328,61.8,98,0
425,0,302.2,310.7,1567,36.4,100,0
426,0,296.9,307.8,1425,49.1,163,0
427,2,299.1,310.4,1405,53.6,86,0
428,2,300.7,309.6,1390,48.5,7,0
429,2,297.3,308.8,1419,42.4,139,0
430,2,298.6,308.8,1566,39.1,36,0
431,0,299.1,310.5,1471,38.4,146,0
432,0,297.4,308.4,1525,38.7,62,0
433,0,297.0,308.1,1489,44.1,96,0
434,0,302.2,310.8,1340,47.8,54,5
435,0,302.3,311.3,1439,41.8,96,0
436,1,301.9,310.6,1475,47.8,179,0
437,0,302.5,310.3,1539,39.0,119,0
438,0,301.0,310.9,1570,34.0,192,0
439,1,297.0,308.2,1702,30.7,124,0
440,1,300.6,310.0,1542,33.9,100,0
441,0,298.9,308.9,1753,25.8,33,0
442,0,298.8,309.3,1357,47.1,176,0
443,0,298.0,308.8,1489,36.5,109,0
444,1,297.9,307.7,1364,46.8,89,0
445,1,298.2,308.9,1414,44.3,68,0
446,1,297.6,309.3,1464,46.2,218,0
447,1,300.0,309.1,1474,45.2,152,0
448,2,299.6,309.2,1597,36.3,35,0
449,1,299.2,309.0,1881,23.9,137,0
450,0,299.3,309.3,1325,62.0,47,0
451,0,296.8,308.0,1584,40.4,227,0
452,1,297.3,308.1,1369,52.0,214,0
453,2,301.1,310.6,1407,43.9,111,0
454,0,301.5,310.7,1686,27.9,135,0
455,0,303.7,313.1,1721,34.8,50,0
456,1,300.4,310.5,1500,43.0,9,0
457,0,297.9,307.6,1504,42.4,180,0
458,0,303.4,312.2,1656,32.7,195,0
459,0,296.9,308.4,1390,41.8,184,0
460,1,297.6,308.5,1490,43.4,154,0
461,2,298.6,309.8,1279,55.9,152,0
462,1,298.1,308.0,1374,48.8,156,0
463,2,301.7,310.1,1462,38.3,49,0
464,0,301.8,310.0,1393,44.9,208,0
465,0,301.9,311.3,1501,40.8,59,0
466,0,297.1,308.5,1712,32.1,48,0
467,0,300.3,311.7,1515,37.5,5,0
468,0,299.1,308.3,1305,61.4,17,0
469,2,297.7,309.6,1697,32.2,210,0
470,1,298.2,309.1,1411,45.8,157,0
471,1,300.2,309.0,1642,31.2,37,0
472,1,296.8,307.8,1664,32.8,142,0
473,0,301.6,310.5,1593,34.5,102,0
474,0,300.0,309.8,1372,39.6,105,0
475,0,301.3,310.8,1531,53.4,57,0
476,1,298.5,308.0,1363,49.2,149,0
477,0,297.1,308.5,1578,35.6,46,0
478,0,299.1,308.5,1647,35.0,74,0
479,1,297.8,309.0,1675,30.0,110,0
480,0,302.7,312.3,1421,48.5,0,0
481,2,304.1,313.3,1689,32.5,134,0
482,0,300.7,311.1,1688,30.7,161,0
483,0,299.0,308.8,1405,55.2,103,0
484,0,300.4,311.3,1495,51.2,175,0
485,0,298.4,308.7,1386,44.9,135,0
486,0,303.0,312.3,1486,42.4,112,0
487,0,301.8,311.0,1529,41.6,12,0
488,1,303.3,311.5,1384,54.8,48,0
489,2,298.2,308.8,1837,28.4,34,0
490,0,304.3,313.6,1409,56.0,19,0
491,0,302.3,311.0,1446,37.6,75,0
492,1,299.6,309.3,1577,39.8,48,0
493,1,298.6,308.3,1717,28.7,29,0
494,0,302.4,311.8,1543,31.1,96,0
495,0,300.1,309.0,1404,54.8,29,0
496,0,298.3,309.4,1568,35.8,140,0
497,0,297.4,308.6,1532,38.7,136,0
498,1,297.5,309.2,1804,27.4,215,0
499,0,298.4,307.9,1743,27.3,134,0
500,1,299.9,311.3,1445,41.2,169,0
501,0,297.5,308.2,1610,33.6,115,0
502,0,299.2,308.2,1466,41.3,8,0
503,1,297.2,308.6,1404,43.7,160,0
504,0,299.3,308.6,1605,37.0,78,0
505,0,302.9,312.2,1469,42.0,214,0
506,1,298.0,307.5,1427,45.1,95,0
507,0,298.8,310.0,1672,30.4,150,0
508,0,302.2,311.0,1463,46.8,150,0
509,1,298.1,307.8,1316,57.2,191,0
510,0,303.1,312.4,1407,41.2,107,0
511,1,300.7,310.6,1505,35.6,105,0
512,1,301.0,311.6,1448,43.9,145,0
513,0,303.7,312.8,1627,31.7,40,0
514,1,300.9,310.0,1600,36.0,204,0
515,0,297.5,308.9,1466,43.0,15,0
516,2,297.3,308.3,1506,37.0,54,0
517,0,302.5,311.9,1452,47.4,77,0
518,2,299.0,308.2,1662,30.4,55,0
519,1,301.8,310.9,1346,44.6,142,0
520,1,299.3,308.7,1420,50.3,208,0
521,0,301.5,310.5,2297,15.8,191,0
522,1,300.8,311.2,1434,39.1,82,0
523,1,302.8,312.2,1615,32.9,159,0
524,1,297.3,308.3,1544,41.7,6,0
525,1,301.6,310.8,1290,65.3,63,0
526,1,296.6,307.4,1544,42.3,170,0
527,0,301.1,312.3,1682,29.7,83,0
528,0,297.8,307.7,1393,38.0,29,0
529,0,297.6,308.6,1415,47.3,169,0
530,2,297.5,308.7,1416,39.2,74,0
531,1,297.4,308.5,1638,32.2,84,0
532,0,297.4,308.5,1501,44.9,20,0
533,0,298.4,309.5,1397,50.3,110,0
534,0,297.4,308.6,1488,36.4,71,0
535,1,301.8,311.0,1393,49.5,168,0
536,1,300.3,309.8,1444,42.0,3,0
537,0,298.5,309.0,1450,40.5,199,0
538,0,299.0,308.4,1356,52.6,188,0
539,2,296.6,307.4,1333,50.2,177,0
540,2,300.8,310.8,1466,45.2,188,0
541,1,300.7,310.6,1778,27.1,215,0
542,1,298.0,308.7,2101,17.4,198,0
543,2,304.0,313.0,1701,30.4,171,0
544,1,298.4,309.2,1399,45.2,125,0
545,1,298.0,308.9,1339,51.4,68,0
546,1,298.4,309.4,1666,24.3,68,0
547,0,301.9,311.0,1669,32.2,191,0
548,0,297.1,307.9,1456,50.0,166,0
549,1,297.5,308.6,1327,52.1,24,0
550,1,299.9,309.8,1625,41.2,109,0
551,0,298.9,309.6,1589,34.2,197,0
552,0,300.8,310.3,1537,33.3,52,0
553,1,303.0,312.8,1648,32.1,104,0
554,1,301.0,312.0,1499,34.6,207,0
555,0,301.6,310.7,1679,29.5,10,0
556,0,300.6,312.3,1532,37.2,54,0
557,2,298.5,308.9,1500,40.3,207,0
558,0,299.7,310.9,1384,48.2,188,0
559,0,298.0,307.6,1450,48.7,138,0
560,1,301.2,310.9,1460,46.7,166,0
561,1,301.4,310.8,1782,26.5,6,0
562,1,299.3,308.5,1496,39.4,80,0
563,0,297.2,308.3,1693,28.0,188,0
564,0,300.7,311.0,1336,53.3,68,0
565,2,301.9,309.8,1724,27.5,126,0
566,0,302.3,310.9,1587,36.6,20,0
567,0,301.8,311.5,1443,43.3,134,0
568,0,300.6,309.9,1428,48.8,109,0
569,0,303.4,312.3,1663,33.9,78,0
570,0,301.9,310.3,1398,44.0,65,0
571,2,300.0,310.4,1881,21.9,102,0
572,1,297.9,307.7,1517,39.5,69,0
573,1,298.8,309.9,1331,61.6,46,0
574,0,298.0,308.6,1430,57.0,43,0
575,1,297.7,307.3,1365,49.2,36,0
576,0,303.5,312.9,1332,52.9,66,0
577,0,300.7,311.0,1496,38.3,99,0
578,0,299.6,309.0,1372,60.4,149,0
579,0,297.4,308.5,1495,37.8,211,0
580,0,297.0,308.3,1399,59.0,135,4
581,1,304.2,313.5,1437,47.2,102,0
582,0,298.0,307.8,1414,51.7,140,0
583,0,296.9,307.6,1452,45.7,122,0
584,1,302.2,311.2,1377,43.0,91,0
585,1,296.9,307.9,2010,18.9,86,0
586,0,299.9,311.4,1627,36.7,118,0
587,0,298.7,309.7,1601,35.7,176,0
588,1,303.1,312.5,1766,26.7,157,0
589,2,296.3,307.1,1774,25.9,154,0
590,0,298.0,308.9,1607,37.7,49,0
591,1,298.2,309.0,1694,28.0,5,0
592,1,303.9,313.3,1567,35.0,168,0
593,1,298.2,308.3,1522,49.1,22,0
594,0,303.6,313.1,1405,38.3,58,0
595,0,300.8,309.4,1489,38.4,109,0
596,0,301.2,310.7,1517,39.4,107,0
597,1,303.7,312.7,1396,47.3,158,0
598,0,302.6,311.4,1738,25.8,128,0
599,0,301.0,310.4,1614,31.6,84,0
600,0,298.8,310.6,1602,39.1,211,0
601,1,299.6,309.1,1471,44.3,67,0
602,0,300.6,310.1,1656,32.7,44,0
603,0,299.2,308.4,1509,39.4,0,0
